date,car,bus,station_code,station_name,city
2020-07-24,6941,164,179,홍천,홍천
2020-07-25,7024,88,179,홍천,홍천
2020-07-26,8191,53,179,홍천,홍천
2020-07-27,6286,189,179,홍천,홍천
2020-07-28,6137,183,179,홍천,홍천
2020-07-29,6060,173,179,홍천,홍천
2020-07-30,6395,158,179,홍천,홍천
2020-07-31,8057,179,179,홍천,홍천
2020-07-01,3224,172,181,새말,횡성
2020-07-02,3619,160,181,새말,횡성
2020-07-03,4166,171,181,새말,횡성
2020-07-04,6828,114,181,새말,횡성
2020-07-05,8838,77,181,새말,횡성
2020-07-06,4019,178,181,새말,횡성
2020-07-07,3623,174,181,새말,횡성
2020-07-08,3514,179,181,새말,횡성
2020-07-09,3663,150,181,새말,횡성
2020-07-10,3746,162,181,새말,횡성
2020-07-11,5521,96,181,새말,횡성
2020-07-12,8564,79,181,새말,횡성
2020-07-13,3127,116,181,새말,횡성
2020-07-14,3023,143,181,새말,횡성
2020-07-15,3464,184,181,새말,횡성
2020-07-16,3691,174,181,새말,횡성
2020-07-17,4283,179,181,새말,횡성
2020-07-18,5475,110,181,새말,횡성
2020-07-19,8092,71,181,새말,횡성
2020-07-20,3383,134,181,새말,횡성
2020-07-21,3495,151,181,새말,횡성
2020-07-22,3684,179,181,새말,횡성
2020-07-23,3361,141,181,새말,횡성
2020-07-24,3653,123,181,새말,횡성
2020-07-25,4178,88,181,새말,횡성
2020-07-26,5839,75,181,새말,횡성
2020-07-27,3756,152,181,새말,횡성
2020-07-28,3474,164,181,새말,횡성
2020-07-29,3363,147,181,새말,횡성
2020-07-30,3535,145,181,새말,횡성
2020-07-31,4697,146,181,새말,횡성
2020-07-01,1876,77,182,둔내,횡성
2020-07-02,1939,82,182,둔내,횡성
2020-07-03,2379,75,182,둔내,횡성
2020-07-04,3149,58,182,둔내,횡성
2020-07-05,4759,23,182,둔내,횡성
2020-07-06,2335,66,182,둔내,횡성
2020-07-07,2213,69,182,둔내,횡성
2020-07-08,2183,73,182,둔내,횡성
2020-07-09,2527,65,182,둔내,횡성
2020-07-10,2245,56,182,둔내,횡성
2020-07-11,2871,29,182,둔내,횡성
2020-07-12,4747,27,182,둔내,횡성
2020-07-13,1988,44,182,둔내,횡성
2020-07-14,1740,54,182,둔내,횡성
2020-07-15,2144,81,182,둔내,횡성
2020-07-16,2156,69,182,둔내,횡성
2020-07-17,2566,84,182,둔내,횡성
2020-07-18,3958,55,182,둔내,횡성
2020-07-19,4401,21,182,둔내,횡성
2020-07-20,2013,56,182,둔내,횡성
2020-07-21,2030,55,182,둔내,횡성
2020-07-22,2063,77,182,둔내,횡성
2020-07-23,1963,60,182,둔내,횡성
2020-07-24,2090,57,182,둔내,횡성
2020-07-25,2580,31,182,둔내,횡성
2020-07-26,4395,27,182,둔내,횡성
2020-07-27,2472,71,182,둔내,횡성
2020-07-28,2193,61,182,둔내,횡성
2020-07-29,2192,53,182,둔내,횡성
2020-07-30,2315,63,182,둔내,횡성
2020-07-31,3065,65,182,둔내,횡성
2020-07-01,944,30,183,면온,평창
2020-07-02,891,21,183,면온,평창
2020-07-03,962,34,183,면온,평창
2020-07-04,2225,22,183,면온,평창
2020-07-05,3430,16,183,면온,평창
2020-07-06,1338,28,183,면온,평창
2020-07-07,964,36,183,면온,평창
2020-07-08,1019,29,183,면온,평창
2020-07-09,1205,26,183,면온,평창
2020-07-10,1070,17,183,면온,평창
2020-07-11,1824,25,183,면온,평창
2020-07-12,2721,10,183,면온,평창
2020-07-13,1291,13,183,면온,평창
2020-07-14,1009,20,183,면온,평창
2020-07-15,867,27,183,면온,평창
2020-07-16,978,34,183,면온,평창
2020-07-17,2197,48,183,면온,평창
2020-07-18,2660,26,183,면온,평창
2020-07-19,3533,15,183,면온,평창
2020-07-20,1043,18,183,면온,평창
2020-07-21,899,24,183,면온,평창
2020-07-22,901,26,183,면온,평창
2020-07-23,930,20,183,면온,평창
2020-07-24,950,18,183,면온,평창
2020-07-25,1375,20,183,면온,평창
2020-07-26,2428,14,183,면온,평창
2020-07-27,1455,22,183,면온,평창
2020-07-28,1289,23,183,면온,평창
2020-07-29,1206,21,183,면온,평창
2020-07-30,1313,21,183,면온,평창
2020-07-31,1815,20,183,면온,평창
2020-07-01,2796,96,184,대관령,평창
2020-07-02,3359,112,184,대관령,평창
2020-07-03,4305,104,184,대관령,평창
2020-07-04,6323,99,184,대관령,평창
2020-07-05,6482,67,184,대관령,평창
2020-07-06,4080,115,184,대관령,평창
2020-07-07,3562,113,184,대관령,평창
2020-07-08,3480,133,184,대관령,평창
2020-07-09,3539,134,184,대관령,평창
2020-07-10,3669,71,184,대관령,평창
2020-07-11,5730,95,184,대관령,평창
2020-07-12,6924,50,184,대관령,평창
2020-07-13,3453,79,184,대관령,평창
2020-07-14,2988,87,184,대관령,평창
2020-07-15,3621,108,184,대관령,평창
2020-07-16,4432,112,184,대관령,평창
2020-07-17,5222,111,184,대관령,평창
2020-07-18,7034,93,184,대관령,평창
2020-07-19,6084,55,184,대관령,평창
2020-07-20,3677,83,184,대관령,평창
2020-07-21,3658,92,184,대관령,평창
2020-07-22,3742,100,184,대관령,평창
2020-07-23,3432,95,184,대관령,평창
2020-07-24,3448,75,184,대관령,평창
2020-07-25,4239,65,184,대관령,평창
2020-07-26,6045,48,184,대관령,평창
2020-07-27,4199,85,184,대관령,평창
2020-07-28,3864,83,184,대관령,평창
2020-07-29,4017,85,184,대관령,평창
2020-07-30,4711,104,184,대관령,평창
2020-07-31,6352,105,184,대관령,평창
2020-07-01,540,18,186,속사,평창
2020-07-02,660,9,186,속사,평창
2020-07-03,808,15,186,속사,평창
2020-07-04,1355,14,186,속사,평창
2020-07-05,2800,12,186,속사,평창
2020-07-06,1159,26,186,속사,평창
2020-07-07,715,17,186,속사,평창
2020-07-08,640,26,186,속사,평창
2020-07-09,716,14,186,속사,평창
2020-07-10,780,16,186,속사,평창
2020-07-11,1144,10,186,속사,평창
2020-07-12,2545,17,186,속사,평창
2020-07-13,729,6,186,속사,평창
2020-07-14,661,13,186,속사,평창
2020-07-15,722,26,186,속사,평창
2020-07-16,1569,27,186,속사,평창
2020-07-17,917,22,186,속사,평창
2020-07-18,1781,25,186,속사,평창
2020-07-19,2550,14,186,속사,평창
2020-07-20,722,9,186,속사,평창
2020-07-21,762,30,186,속사,평창
2020-07-22,738,30,186,속사,평창
2020-07-23,730,14,186,속사,평창
2020-07-24,694,11,186,속사,평창
2020-07-25,1000,14,186,속사,평창
2020-07-26,1577,16,186,속사,평창
2020-07-27,866,25,186,속사,평창
2020-07-28,845,22,186,속사,평창
2020-07-29,720,17,186,속사,평창
2020-07-30,931,25,186,속사,평창
2020-07-31,1238,20,186,속사,평창
2020-07-01,1696,65,187,진부,평창
2020-07-02,2120,88,187,진부,평창
2020-07-03,2298,84,187,진부,평창
2020-07-04,2745,44,187,진부,평창
2020-07-05,2893,30,187,진부,평창
2020-07-06,2015,79,187,진부,평창
2020-07-07,2050,71,187,진부,평창
2020-07-08,2142,112,187,진부,평창
